Image,Dice,IoU,Sensitivity,Specificity,Precision,F1_Score,TP,TN,FP,FN
TCGA_DU_7013_19860523_28.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16287,0,97
TCGA_DU_7013_19860523_19.tif,0.5509,0.3802,0.7033,0.9856,0.4528,0.5509,192,15879,232,81
TCGA_DU_7014_19860618_24.tif,0.6501,0.4816,0.768,0.9887,0.5635,0.6501,235,15896,182,71
TCGA_DU_7014_19860618_1.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7014_19860618_45.tif,0.9418,0.8899,0.9144,0.9989,0.9708,0.9418,566,15748,17,53
TCGA_DU_7014_19860618_6.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7018_19911220_2.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7014_19860618_50.tif,0.4776,0.3137,0.9697,0.9958,0.3168,0.4776,32,16282,69,1
TCGA_DU_7014_19860618_36.tif,0.9468,0.899,0.9167,0.9986,0.979,0.9468,979,15295,21,89
TCGA_DU_7014_19860618_43.tif,0.9574,0.9183,0.9651,0.9976,0.9498,0.9574,719,15601,38,26
TCGA_DU_7018_19911220_10.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7019_19940908_13.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,15954,0,430
TCGA_DU_7019_19940908_33.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7294_19890104_10.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7294_19890104_20.tif,0.0,0.0,1.0,0.9843,0.0,0.0,0,16126,258,0
TCGA_DU_7294_19890104_21.tif,0.7538,0.6049,0.8909,0.9984,0.6533,0.7538,49,16303,26,6
TCGA_DU_7019_19940908_18.tif,0.8196,0.6944,0.7986,0.9944,0.8417,0.8196,468,15710,88,118
TCGA_DU_7019_19940908_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7019_19940908_29.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7294_19890104_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7299_19910417_27.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16271,0,113
TCGA_DU_7299_19910417_31.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7298_19910324_21.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7299_19910417_19.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7299_19910417_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7301_19911112_22.tif,0.7598,0.6126,0.6338,0.9982,0.9483,0.7598,514,15545,28,297
TCGA_DU_7300_19910814_32.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7301_19911112_13.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7301_19911112_32.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7301_19911112_14.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7301_19911112_9.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7300_19910814_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7302_19911203_14.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7306_19930512_1.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7304_19930325_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7304_19930325_26.tif,0.8975,0.814,0.8614,0.997,0.9367,0.8975,696,15529,47,112
TCGA_DU_7304_19930325_10.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7306_19930512_2.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7304_19930325_8.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7306_19930512_11.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7304_19930325_18.tif,0.7594,0.6121,0.6237,0.9993,0.9706,0.7594,363,15791,11,219
TCGA_DU_7306_19930512_20.tif,0.6181,0.4473,0.459,0.9989,0.9459,0.6181,297,15720,17,350
TCGA_DU_7309_19960831_38.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8162_19961029_18.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16230,0,154
TCGA_DU_7309_19960831_26.tif,0.4306,0.2744,0.2794,0.9997,0.9383,0.4306,76,16107,5,196
TCGA_DU_7309_19960831_18.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7309_19960831_20.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_7309_19960831_29.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16282,0,102
TCGA_DU_7309_19960831_33.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8163_19961119_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8162_19961029_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8162_19961029_8.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8163_19961119_21.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8164_19970111_1.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8164_19970111_25.tif,0.596,0.4245,0.4856,0.9926,0.7714,0.596,388,15470,115,411
TCGA_DU_8162_19961029_29.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8164_19970111_13.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8163_19961119_7.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8166_19970322_31.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16202,0,182
TCGA_DU_8165_19970205_29.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8166_19970322_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8165_19970205_36.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8166_19970322_34.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8166_19970322_26.tif,0.8469,0.7345,0.8925,0.9902,0.8058,0.8469,639,15514,154,77
TCGA_DU_8166_19970322_27.tif,0.9033,0.8237,0.8862,0.9964,0.9211,0.9033,654,15590,56,84
TCGA_DU_8166_19970322_15.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8165_19970205_4.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8167_19970402_7.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8167_19970402_10.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8168_19970503_16.tif,0.8146,0.6872,0.8601,0.9955,0.7736,0.8146,246,16026,72,40
TCGA_DU_8166_19970322_7.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8167_19970402_21.tif,0.3566,0.217,0.2289,0.9973,0.8056,0.3566,174,15582,42,586
TCGA_DU_8167_19970402_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8167_19970402_11.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TR_19970726_38.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TP_19970614_16.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TR_19970726_27.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TP_19970614_31.tif,0.1845,0.1016,0.1716,0.9809,0.1995,0.1845,76,15636,305,367
TCGA_DU_A5TR_19970726_12.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16341,0,43
TCGA_DU_8168_19970503_7.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_8168_19970503_6.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TR_19970726_33.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TP_19970614_22.tif,0.705,0.5444,0.7306,0.9959,0.6812,0.705,141,16125,66,52
TCGA_DU_A5TP_19970614_9.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TP_19970614_17.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TR_19970726_4.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TS_19970726_6.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TT_19980318_25.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TS_19970726_16.tif,0.8033,0.6713,0.693,0.9978,0.9553,0.8033,727,15301,34,322
TCGA_DU_A5TT_19980318_11.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TT_19980318_36.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TW_19980228_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TW_19980228_31.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TY_19970709_15.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TY_19970709_26.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,16167,0,217
TCGA_DU_A5TT_19980318_55.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TW_19980228_24.tif,0.9705,0.9427,0.9691,0.9982,0.972,0.9705,971,15354,28,31
TCGA_DU_A5TT_19980318_9.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_DU_A5TY_19970709_8.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_EZ_7264_20010816_17.tif,0.8818,0.7886,0.7985,0.9997,0.9845,0.8818,317,15982,5,80
TCGA_FG_5962_20000626_39.tif,0.9075,0.8307,0.9253,0.9963,0.8904,0.9075,471,15817,58,38
TCGA_EZ_7264_20010816_4.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_5964_20010511_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_5962_20000626_48.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_5962_20000626_5.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_5964_20010511_3.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_6688_20020215_26.tif,0.0,0.0,0.0,1.0,1.0,0.0,0,15862,0,522
TCGA_FG_5964_20010511_19.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_6689_20020326_29.tif,0.9304,0.8698,0.9304,0.9944,0.9304,0.9304,1136,15078,85,85
TCGA_FG_6689_20020326_15.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
TCGA_FG_6689_20020326_43.tif,1.0,1.0,1.0,1.0,1.0,1.0,0,16384,0,0
